time,value
1607814000.0,17.8
1607814900.0,18
1607815800.0,18
1607816700.0,18.2
1607817600.0,18.2
1607818500.0,18.1
1607819400.0,18.2
1607820300.0,18.2
1607821200.0,18.3
1607822100.0,18.4
1607823000.0,18.2
1607823900.0,18
1607824800.0,18.1
1607825700.0,18.1
1607826600.0,18.1
1607827500.0,18.1
1607828400.0,18.1
1607829300.0,18.1
1607830200.0,18.1
1607831100.0,18
1607832000.0,18
1607832900.0,19.2
1607833800.0,19.4
1607834700.0,19.2
1607835600.0,19.2
1607836500.0,19.1
1607837400.0,19
1607838300.0,18.8
1607839200.0,18.8
1607840100.0,18.6
1607841000.0,18.4
1607841900.0,18.1
1607842800.0,18.1
1607843700.0,17.9
1607844600.0,17.7
1607845500.0,17.5
1607846400.0,17.3
1607847300.0,17.2
1607848200.0,17.2
1607849100.0,17.2
1607850000.0,17.2
1607850900.0,17.5
1607851800.0,17.3
1607852700.0,17.4
1607853600.0,17.5
1607854500.0,17.6
1607855400.0,17.4
1607856300.0,17.4
1607857200.0,17.5
1607858100.0,17.5
1607859000.0,17.3
1607859900.0,17.3
1607860800.0,17.5
1607861700.0,17.6
1607862600.0,17.5
1607863500.0,17.5
1607864400.0,17.7
1607865300.0,17.6
1607866200.0,17.6
1607867100.0,17.9
1607868000.0,18
1607868900.0,18
1607869800.0,17.9
1607870700.0,17.9
1607871600.0,17.7
1607872500.0,17.9
1607873400.0,17.8
1607874300.0,17.7
1607875200.0,17.9
1607876100.0,17.9
1607877000.0,17.7
1607877900.0,17.8
1607878800.0,17.7
1607879700.0,17.5
1607880600.0,17.2
1607881500.0,17.4
1607882400.0,17.3
1607883300.0,17.3
1607884200.0,17.3
1607885100.0,17.1
1607886000.0,17.2
1607886900.0,17.2
1607887800.0,17.5
1607888700.0,17.3
1607889600.0,17.3
1607890500.0,17.8
1607891400.0,17.5
1607892300.0,18
1607893200.0,17.8
1607894100.0,17.5
1607895000.0,17.7
1607895900.0,18
1607896800.0,18
1607897700.0,17.2
1607898600.0,17.5
1607899500.0,17.7
1607900400.0,17.8
1607900400.0,17.8
1607900400.0,17.8
1607901300.0,18
1607901300.0,18
1607902200.0,18.1
1607902200.0,18.1
1607903100.0,18.2
1607903100.0,18.2
1607904000.0,18.2
1607904000.0,18.2
1607904900.0,18.2
1607904900.0,18.2
1607905800.0,18.3
1607905800.0,18.3
1607906700.0,18.4
1607906700.0,18.4
1607907600.0,18.4
1607907600.0,18.4
1607908500.0,18.4
1607908500.0,18.4
1607909400.0,18.4
1607909400.0,18.4
1607910300.0,18.4
1607910300.0,18.4
1607911200.0,18.4
1607911200.0,18.4
1607912100.0,18.4
1607912100.0,18.4
1607913000.0,18.4
1607913000.0,18.4
1607913900.0,18.4
1607913900.0,18.4
1607914800.0,18.3
1607914800.0,18.3
1607915700.0,18.3
1607915700.0,18.3
1607916600.0,18.2
1607916600.0,18.2
1607917500.0,18
1607917500.0,18
1607918400.0,18
1607918400.0,18
1607919300.0,19.1
1607919300.0,19.1
1607920200.0,19.3
1607920200.0,19.3
1607921100.0,19
1607921100.0,19
1607922000.0,19
1607922000.0,19
1607922900.0,18.5
1607922900.0,18.5
1607923800.0,18.5
1607923800.0,18.5
1607924700.0,18.2
1607924700.0,18.2
1607925600.0,18.1
1607925600.0,18.1
1607926500.0,17.7
1607926500.0,17.7
1607927400.0,17.4
1607927400.0,17.4
1607928300.0,17.2
1607928300.0,17.2
1607929200.0,16.9
1607929200.0,16.9
1607930100.0,17.4
1607930100.0,17.4
1607931000.0,17.3
1607931000.0,17.3
1607931900.0,17.2
1607931900.0,17.2
1607932800.0,17.1
1607932800.0,17.1
1607933700.0,17
1607933700.0,17
1607934600.0,17
1607934600.0,17
1607935500.0,16.9
1607935500.0,16.9
1607936400.0,16.9
1607936400.0,16.9
1607937300.0,17.1
1607937300.0,17.1
1607938200.0,17.1
1607938200.0,17.1
1607939100.0,17.1
1607939100.0,17.1
1607940000.0,17.2
1607940000.0,17.2
1607940900.0,17.2
1607940900.0,17.2
1607941800.0,17.2
1607941800.0,17.2
1607942700.0,17.2
1607942700.0,17.2
1607943600.0,17.2
1607943600.0,17.2
1607944500.0,17.3
1607944500.0,17.3
1607945400.0,17.1
1607945400.0,17.1
1607946300.0,17.2
1607946300.0,17.2
1607947200.0,17.1
1607947200.0,17.1
1607948100.0,17.3
1607948100.0,17.3
1607949000.0,17.5
1607949000.0,17.5
1607949900.0,17.5
1607949900.0,17.5
1607950800.0,17.7
1607950800.0,17.7
1607951700.0,17.9
1607951700.0,17.9
1607952600.0,17.8
1607952600.0,17.8
1607953500.0,18
1607953500.0,18
1607954400.0,17.6
1607954400.0,17.6
1607955300.0,18
1607955300.0,18
1607956200.0,17.8
1607956200.0,17.8
1607957100.0,17.6
1607957100.0,17.6
1607958000.0,17.6
1607958000.0,17.6
1607958900.0,17.8
1607958900.0,17.8
1607959800.0,17.7
1607959800.0,17.7
1607960700.0,17.7
1607960700.0,17.7
1607961600.0,17.4
1607961600.0,17.4
1607962500.0,17.7
1607962500.0,17.7
1607963400.0,17.2
1607963400.0,17.2
1607964300.0,17
1607964300.0,17
1607965200.0,17.1
1607965200.0,17.1
1607966100.0,17.3
1607966100.0,17.3
1607967000.0,17
1607967000.0,17
1607967900.0,17.2
1607967900.0,17.2
1607968800.0,17.3
1607968800.0,17.3
1607969700.0,17
1607969700.0,17
1607970600.0,17
1607970600.0,17
1607971500.0,17
1607971500.0,17
1607972400.0,16.8
1607972400.0,16.8
1607973300.0,17.3
1607973300.0,17.3
1607974200.0,17.1
1607974200.0,17.1
1607975100.0,17.6
1607975100.0,17.6
1607976000.0,17.5
1607976000.0,17.5
1607976900.0,18
1607976900.0,18
1607977800.0,17.7
1607977800.0,17.7
1607978700.0,17.9
1607978700.0,17.9
1607979600.0,17.7
1607979600.0,17.7
1607980500.0,17.4
1607980500.0,17.4
1607981400.0,17.5
1607981400.0,17.5
1607982300.0,18.1
1607982300.0,18.1
1607983200.0,17.9
1607983200.0,17.9
1607984100.0,17.4
1607984100.0,17.4
1607985000.0,17.4
1607985000.0,17.4
1607985900.0,17.6
1607985900.0,17.6
1607986800.0,17.9
1607986800.0,17.9
1607986800.0,17.9
1607987700.0,18
1607988600.0,18.2
1607989500.0,18.2
1607990400.0,18.3
1607991300.0,18.3
1607992200.0,18.4
1607993100.0,18.4
1607994000.0,18
1607994900.0,17.9
1607995800.0,17.8
1607996700.0,17.9
1607997600.0,17.9
1607998500.0,17.9
1607999400.0,18.4
1608000300.0,18.4
1608001200.0,18.4
1608002100.0,18.4
1608003000.0,18.3
1608003900.0,18.1
1608004800.0,18
1608005700.0,19.2
1608006600.0,19.1
1608007500.0,18.9
1608008400.0,18.8
1608009300.0,18.5
1608010200.0,18.4
1608011100.0,18.2
1608012000.0,18.2
1608012900.0,18
1608013800.0,17.7
1608014700.0,17.5
1608015600.0,17
1608016500.0,17.2
1608017400.0,17.2
1608018300.0,17.1
1608019200.0,17
1608020100.0,17.3
1608021000.0,17.4
1608021900.0,17.3
1608022800.0,17.5
1608023700.0,17.5
1608024600.0,17.6
1608025500.0,17.5
1608026400.0,17.6
1608027300.0,17.6
1608028200.0,17.7
1608029100.0,17.6
1608030000.0,17.5
1608030900.0,17.6
1608031800.0,17.6
1608032700.0,17.8
1608033600.0,17.7
1608034500.0,17.7
1608035400.0,17.8
1608036300.0,17.7
1608037200.0,17.8
1608038100.0,18.1
1608039000.0,18
1608039900.0,18.2
1608040800.0,18.1
1608041700.0,18.2
1608042600.0,18
1608043500.0,17.9
1608044400.0,17.9
1608045300.0,17.8
1608046200.0,17.9
1608047100.0,17.7
1608048000.0,17.6
1608048900.0,17.5
1608049800.0,17.5
1608050700.0,17.5
1608051600.0,17.4
1608052500.0,17.3
1608053400.0,17
1608054300.0,16.9
1608055200.0,17.4
1608056100.0,17.2
1608057000.0,17.1
1608057900.0,17
1608058800.0,16.8
1608059700.0,17.5
1608060600.0,17.3
1608061500.0,17.8
1608062400.0,17.4
1608063300.0,17.8
1608064200.0,17.5
1608065100.0,17.7
1608066000.0,17.6
1608066900.0,17.7
1608067800.0,18
1608068700.0,17.9
1608069600.0,17.9
1608070500.0,17.1
1608071400.0,17.4
1608072300.0,17.6
1608073200.0,17.9
1608074100.0,18.1
1608075000.0,18.3
1608075900.0,18.3
1608076800.0,18.4
1608077700.0,18.4
1608078600.0,18.5
1608079500.0,18.6
1608080400.0,18.6
1608081300.0,18.6
1608082200.0,18.6
1608083100.0,18.6
1608084000.0,18.6
1608084900.0,18.6
1608085800.0,18.6
1608086700.0,18.7
1608087600.0,18.5
1608088500.0,18.4
1608089400.0,18.3
1608090300.0,18
1608091200.0,18.4
1608092100.0,19.3
1608093000.0,19.3
1608093900.0,19.1
1608094800.0,19
1608095700.0,18.7
1608096600.0,18.9
1608097500.0,18.7
1608098400.0,18.4
1608099300.0,18.1
1608100200.0,18
1608101100.0,17.6
1608102000.0,17.2
1608102900.0,13
1608103800.0,12.8
1608104700.0,12.9
1608105600.0,12.9
1608106500.0,13
1608107400.0,12.7
1608108300.0,16.1
1608109200.0,18.2
1608110100.0,18.4
1608111000.0,18.4
1608111900.0,18.4
1608112800.0,18.4
1608113700.0,18.5
1608114600.0,18.5
1608115500.0,18.5
1608116400.0,18.3
1608117300.0,18.5
1608118200.0,18.4
1608119100.0,18.5
1608120000.0,18.2
1608120900.0,18.4
1608121800.0,17.8
1608122700.0,16.8
1608123600.0,17.5
1608124500.0,18.2
1608125400.0,18.2
1608126300.0,18.4
1608127200.0,18.3
1608128100.0,18.3
1608129000.0,18.2
1608129900.0,18.1
1608130800.0,18.2
1608131700.0,18.3
1608132600.0,18.1
1608133500.0,17.9
1608134400.0,18
1608135300.0,18.1
1608136200.0,17.9
1608137100.0,17.8
1608138000.0,17.9
1608138900.0,18
1608139800.0,17.9
1608140700.0,17.6
1608141600.0,17.8
1608142500.0,17.5
1608143400.0,17.5
1608144300.0,17.4
1608145200.0,17.5
1608146100.0,17.4
1608147000.0,17.3
1608147900.0,17.8
1608148800.0,17.5
1608149700.0,18.3
1608150600.0,17.7
1608151500.0,18.2
1608152400.0,18.1
1608153300.0,17.9
1608154200.0,18.4
1608155100.0,18.5
1608156000.0,18.6
1608156900.0,17.8
1608157800.0,17.7
1608158700.0,17.9
1608159600.0,17.9
1608160500.0,17.8
1608161400.0,18.2
1608162300.0,18.4
1608163200.0,18.5
1608164100.0,18.5
1608165000.0,18.5
1608165900.0,18.5
1608166800.0,18.6
1608167700.0,18.6
1608168600.0,18.6
1608169500.0,18.5
1608170400.0,18.5
1608171300.0,18.5
1608172200.0,18.4
1608173100.0,18.4
