time,pressure,dewPoint,precipitation,humidity,temperature,windBearing,windSpeed,illuminance,pressureTendency
1589817600.0,1009.4,11.9,0.0,49.0,23.2,127.0,1.4,,
1589821200.0,1009.8,16.3,0.0,74.0,21.1,62.0,2.3,,
1589824800.0,1010.2,16.0,0.0,76.0,20.4,30.0,2.0,,
1589828400.0,1010.7,13.9,0.0,67.0,20.3,40.0,1.9,,
1589832000.0,1010.7,14.3,0.0,72.0,19.5,315.0,0.7,,
1589835600.0,1010.4,13.6,0.0,74.0,18.3,274.0,0.6,,
1589839200.0,1010.1,12.8,0.0,72.0,18.0,296.0,1.2,,
1589842800.0,1009.7,12.8,0.0,75.0,17.3,303.0,0.9,,
1589846400.0,1009.3,12.8,0.0,78.0,16.7,34.0,1.0,,
1589850000.0,1008.9,12.0,0.0,74.0,16.7,314.0,0.6,,
1589853600.0,1008.6,12.0,0.0,78.0,15.8,314.0,0.9,,
1589857200.0,1008.6,12.2,0.0,82.0,15.3,314.0,0.5,,
1589860800.0,1009.0,11.0,0.0,67.0,17.2,344.0,0.9,,
1589864400.0,1009.3,11.6,0.0,55.0,21.0,235.0,0.5,,
1589886000.0,1007.7,15.9,0.0,53.0,26.2,131.0,3.1,,
1589889600.0,1007.2,13.6,0.0,45.0,26.4,162.0,2.4,,
1589893200.0,1006.9,16.0,0.0,58.0,24.9,128.0,2.6,,
1589896800.0,1006.5,16.0,0.0,56.0,25.4,138.0,2.3,,
1589900400.0,1006.5,17.0,0.0,65.0,24.0,148.0,2.3,,
1589904000.0,1006.5,16.6,0.0,69.0,22.6,99.0,1.9,,
1589907600.0,1006.6,14.6,0.0,63.0,22.0,58.0,1.3,,
1589911200.0,1006.7,15.3,0.0,68.0,21.4,251.0,0.4,,
1589914800.0,1007.0,16.7,0.0,78.0,20.7,269.0,0.8,,
1589918400.0,1007.0,16.6,0.0,80.0,20.2,201.0,0.4,,
1589922000.0,1006.9,16.2,0.0,81.0,19.6,99.0,0.4,,
1589925600.0,1006.5,16.5,0.0,85.0,19.1,271.0,0.5,,
1589929200.0,1005.9,14.1,0.0,76.0,18.5,303.0,1.3,,
1589932800.0,1005.6,14.0,0.0,77.0,18.1,302.0,1.2,,
1589936400.0,1005.2,13.6,0.0,77.0,17.6,326.0,0.7,,
1589940000.0,1005.1,14.1,0.0,82.0,17.2,1.0,1.0,,
1589943600.0,1005.4,15.7,0.0,89.0,17.5,6.0,1.0,,
1589947200.0,1005.8,14.4,0.0,75.0,19.0,346.0,0.8,,
1589950800.0,1005.9,14.7,0.0,60.0,22.9,356.0,0.8,,
